stud_id,contact,tepsb_sex,cp09v02,cp09v05,cp09v06,cp09v07,cp09v08_u,cp09v08_ud,cp09v09,cp09v10,cp09v11_1,cp09v11_2,cp09v11_3,cp09v11_4,cp09v11_5,cp09v11_6,cp09v11_7,cp09v11_8,cp09v11_9,cp09v11_10,cp09v12,cp09v13,cp09v14,cp09v15,cp09v16,cp09v17,cp09v18,cp09v19,cp09v20,cp09v20_k,cp09v21,cp09v22,cp09v23,cp09v24,cp09v25,cp09v26,cp09v27
12052,6,2,2,1,6,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,157,53
19564,6,2,2,1,5,2,9,3,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,161,46
07133,6,2,2,1,5,3,8,3,2,1,0,0,0,0,0,0,1,0,0,0,3,1,2,99,99,99,999,99,99,999,99,999,99,99,99,155,48
14658,6,2,2,1,4,1,8,3,1,1,0,0,0,0,0,0,0,1,0,0,1,99,99,3,2,4,87,91,2,999,5,60,6,1,99,165,60
18750,6,1,1,1,6,2,6,7,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,169,60
06336,6,2,2,1,5,2,3,5,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,155,56
01574,6,1,1,2,5,2,8,5,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,172,58
19907,6,2,2,1,6,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,159,46
01606,6,2,2,1,6,2,6,4,1,2,0,0,0,0,0,1,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,152,40
17314,6,2,2,1,6,2,6,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,159,56
04376,3,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
03741,6,1,1,1,6,2,6,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,177,60
03750,5,2,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
10699,6,1,1,1,6,2,6,4,1,2,0,0,0,0,0,1,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,165,74
08936,4,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
06076,6,2,2,1,6,2,6,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,163,61
