stud_id,svyunit,ym,contact,teps_sex,tepsb_sex,np13v01,np13v05,np13v28,np13v29,np13v30_g,np13v30_gd,np13v31,np13v32v33_u,np13v32v33_ud,np13v34,np13v35,np13v36,np13v36_1,np13v36_2,np13v37,np13v37_1,np13v37_2,np13v38,np13v38_1,np13v38_2,np13v39,np13v39_1,np13v39_2,np13v40,np13v41,np13v42,np13v43,np13v44,np13v44_1,np13v45,np13v46,np13v47,np13v48,np13v49,np13v49_k,np13v50,np13v51,np13v52,np13v53,np13v54,np13v55,np13v56,np13v57,np13v58,np13v59,np13v60,np13v60_k,np13v61,np13v62,np13log1,np13log2
49130,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
38755,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
40008,2,201403,1,2,2,1,2,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,55,9,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
48723,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
44630,2,201403,2,2,2,3,24,3,7,11,7,2,11,7,1,2,1,99,99,1,99,99,1,99,99,1,99,99,99,1,2,1,1,99,1,79,97,22,2,999,10,997,97,2,8,1,1,79,97,22,2,999,997,97,0,0
37334,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
31048,1,201312,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
41812,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
30969,1,201312,1,1,1,3,97,3,6,99,99,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
44021,2,201403,2,1,1,1,2,3,6,99,99,1,6,2,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,4,99,99,76,3,34,2,999,10,50,7,2,9,1,2,76,2,34,2,999,100,5,0,0
39942,1,201312,2,2,2,1,10,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,2,2,3,1,1,2,2,1,99,2,62,9,42,2,999,10,50,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
46094,1,201401,2,2,2,1,15,3,7,11,3,1,1,3,1,2,2,1,99,1,99,99,2,2,2,1,99,99,99,3,1,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
47565,1,201312,2,2,2,2,13,3,5,99,99,1,8,8,1,1,2,2,2,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,96,8,51,97,999,8,997,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
31192,1,201401,2,1,1,1,3,3,6,99,99,1,6,4,1,2,1,99,99,1,99,99,1,99,99,1,99,99,2,3,1,1,99,1,2,62,9,41,2,999,11,47,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
38842,1,201312,2,1,1,1,15,3,7,6,3,1,9,2,1,1,2,2,1,1,99,99,1,99,99,2,1,99,99,1,2,2,1,99,2,24,6,34,2,999,11,40,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
43616,1,201312,2,1,1,1,15,3,5,99,99,1,8,7,1,1,1,99,99,1,99,99,2,1,99,2,1,99,1,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
35435,1,201312,2,2,2,1,8,3,5,99,99,1,8,8,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,18,9,31,2,999,9,40,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
30394,1,201312,2,2,2,1,9,3,6,99,99,1,1,1,1,2,2,2,1,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,1,79,6,23,2,999,11,40,9,1,99,99,99,999,99,9999,99,999,999,99,0,0
30686,1,201401,2,1,1,1,3,3,7,3,5,3,3,5,1,1,2,2,1,2,2,1,1,99,99,1,99,99,99,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
44202,1,201312,2,1,1,1,11,3,2,99,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
35646,1,201401,2,1,1,1,1,3,3,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,3,1,1,99,1,2,47,9,52,2,999,10,60,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
38271,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
38398,2,201403,2,2,2,1,8,3,5,99,99,97,98,2,1,1,2,1,99,2,2,1,1,99,99,1,99,99,1,1,1,2,1,99,2,46,97,52,2,999,9,55,98,1,99,99,99,999,99,9999,99,999,999,99,0,0
30792,2,201404,2,1,1,3,13,3,5,99,99,1,8,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,997,97,9997,97,999,10,997,97,2,10,1,2,997,97,9997,97,999,997,97,0,0
45058,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
38648,1,201312,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
37692,1,201401,1,1,1,3,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
45421,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
40922,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
37213,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
37051,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
38757,1,201401,2,1,1,1,2,3,7,1,4,2,1,2,1,2,2,1,99,2,2,1,1,99,99,1,99,99,99,1,2,2,1,99,2,47,2,34,1,998,10,30,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
45557,1,201311,2,2,2,1,15,3,6,99,99,1,6,8,1,2,1,99,99,1,99,99,2,1,99,1,99,99,1,1,2,2,1,99,2,57,6,34,2,999,9,40,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
43106,1,201312,2,1,1,1,15,3,7,3,5,2,3,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,99,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
46322,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
49910,1,201311,2,1,1,1,1,2,6,99,99,3,1,5,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,39,4,31,2,999,11,45,8,2,11,1,2,79,3,41,1,2,54,97,0,0
38747,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
49369,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
37945,1,201312,2,1,1,3,9,3,6,99,99,1,6,7,1,2,1,99,99,1,99,99,1,99,99,97,99,99,1,1,2,2,1,99,2,81,6,22,2,999,10,40,9,1,99,99,99,999,99,9999,99,999,999,99,0,0
47883,1,201312,2,2,2,1,1,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,39,6,41,2,999,9,40,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
33084,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
31599,1,201312,2,2,2,3,8,3,5,99,99,1,8,5,1,1,2,2,2,1,99,99,2,1,99,1,99,99,1,1,2,1,1,99,2,12,5,52,2,999,9,40,6,2,9,1,2,81,6,42,2,999,40,4,0,0
39342,1,201312,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
42301,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
41119,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
43924,1,201312,2,2,2,1,8,3,5,99,99,1,8,2,1,1,1,99,99,1,99,99,2,1,99,1,99,99,1,1,2,2,1,99,2,79,3,33,2,999,9,48,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
48647,1,201311,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
47814,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
40198,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
36984,1,201401,2,2,2,1,12,3,7,1,2,2,1,2,1,2,2,1,99,2,1,99,1,99,99,1,99,99,99,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
43951,2,201404,2,1,1,1,6,3,7,1,5,1,3,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,99,1,2,2,1,99,2,27,8,21,2,999,11,40,10,1,99,99,99,999,99,9999,99,999,999,99,0,0
35502,1,201311,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
33916,1,201311,2,1,1,1,15,3,6,99,99,1,1,4,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,3,1,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
42848,1,201401,2,2,2,1,8,3,7,6,2,2,6,2,1,2,1,99,99,1,99,99,1,99,99,1,99,99,99,1,2,1,1,99,2,79,97,33,2,999,9,50,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
39303,1,201312,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
33323,1,201312,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
30821,1,201311,2,2,2,1,14,3,6,99,99,1,1,3,1,2,1,99,99,1,99,99,2,1,99,2,1,99,1,3,1,1,99,1,2,79,5,41,2,999,9,40,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
32699,1,201312,2,1,1,3,16,3,2,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,99,2,17,4,81,2,999,9,44,6,2,5,1,2,39,97,72,2,999,997,97,0,0
39578,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
35829,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
45155,1,201312,2,2,2,1,1,3,7,11,3,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,99,1,2,1,1,99,2,74,6,34,2,999,11,50,8,2,10,1,2,74,5,34,2,999,50,7,0,0
31078,1,201312,2,1,1,1,8,3,5,99,99,1,3,3,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,66,2,34,2,999,11,48,5,2,10,1,2,64,9,34,2,999,50,4,0,0
39581,1,201401,2,1,1,1,8,3,5,99,99,1,3,5,1,1,1,99,99,1,99,99,2,1,99,1,99,99,1,1,2,2,1,99,2,24,3,31,2,999,11,44,8,1,99,99,99,999,99,9999,99,999,999,99,0,0
33746,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
39366,1,201401,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
44937,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
41699,1,201311,1,1,1,1,7,3,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
44077,1,201312,2,1,1,1,11,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,1,59,5,41,2,999,10,40,7,2,10,1,2,10,9,34,2,999,40,6,0,0
42382,1,201401,2,2,2,1,8,3,5,99,99,1,8,7,2,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,81,97,22,2,999,10,45,10,1,99,99,99,999,99,9999,99,999,999,99,0,0
49876,1,201312,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
40843,2,201403,2,2,2,1,4,1,6,99,99,1,6,1,1,2,1,99,99,1,99,99,2,1,99,1,99,99,1,3,2,1,99,1,2,79,8,34,2,999,9,48,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
31667,1,201312,2,1,1,7,2,3,5,99,99,1,9,97,1,1,1,99,99,1,99,99,1,99,99,97,99,99,1,3,2,1,99,1,2,47,97,42,1,997,97,997,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
38718,1,201312,2,1,1,1,8,3,7,8,5,1,8,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,99,3,1,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
