  310203 5.0572299957275394.4166741371154785  1.8109403848648071214 12 1652 2 3 2 3 234155251210000000101 0 0 1 0 0 0323131633423123344 2 3 1 2 1 33111 4 3 14 33 3 12 2 4 4 6 6 0 0 0 0 0 1 2 5 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 2 1 4 2 2 1 2 1 6 3 1 6 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 3 2 2 2 1 4 3 3 4 4 4 4 40 0000000000000000
  3164022.5007688999176025  2.42817759513855   .9096336960792542113 22 2652 2 2 2 1 123153431210000000001 0 0 0 0 0 1125242655533222233 3 3 1 2 2 23133 2 4 12 33 3 22 2 1 5 6 6 0 0 0 0 1 0 2 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 3 1 1 2 6 2 2 2 3 2 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 4 3 3 3 3 3 2 30 0000000000000000
  345403 3.864124059677124 2.386042833328247    .606026828289032134 16 6652 4 4 4 2 243266264101000000100 0 0 0 0 0 1222222622222123323 3 3 4 3 3 44111 2 6 33 34 3 32 2 4 5 6 6 0 0 0 0 1 0 2 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 2 3 1 2 6 1 2 3 3 3 3 6 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 2 2 2 3 2 4 2 3 3 4 1 3 30 0000000000000000
  347203 6.767991065979004 2.587860107421875  3.0700714588165283114 12 2652 2 2 3 2 234144141110000010000 0 1 0 0 0 0555555555542324444 4 4 2 4 3 44111 2 2 32 33 2 22 4 4 5 6 6 0 0 0 1 1 0 2 3 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 4 1 1 1 1 1 1 2 6 1 1 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 2 2 3 3 3 4 4 4 4 3 40 0000000000000000
  350402  6.12693452835083 4.548576831817627  1.8523436784744263124 31 1652 2 4 3 3 243254442101000010000 0 1 0 0 0 0553342641522223323 1 4 2 3 3 43313 2 2 12 23 3 23 2 1 5 6 6 0 0 0 0 1 0 2 5 3 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 3 1 1 2 6 1 2 3 3 4 2 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 2 2 3 2 3 3 3 4 4 3 3 3 30 0000000000000000
  359203 3.2482812404632571.1203557252883911   3.053532838821411115 13 3654 6 6 1 4 124166362100100010000 0 1 0 0 0 0446441444444224444 4 4 4 4 4 44113 1 4 33 23 2 13 4 3 4 6 6 0 0 1 1 1 0 2 6 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 4 3 3 1 6 1 1 1 5 2 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 3 3 3 2 4 4 4 4 4 4 4 4 40 0000000000000000
  3644025.32182073593139652.9539413452148438  2.8814005851745605114 22 2652 1 1 2 1 153144242101100000100 0 1 0 0 0 0122323625223222234 3 3 2 1 2 33111 2 4 32 21 2 22 2 2 4 2 6 0 0 0 1 0 0 2 3 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 1 4 2 1 2 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 2 3 3 3 4 3 2 3 4 3 3 40 0000000000000000
  372203 3.9629373550415042.8044111728668213   3.347376823425293114 22 2652 2 3 2 2 164133132110000000100 1 0 1 0 0 0116433631322334424 3 2 2 4 3 34111 2 4 32 33 3 22 2 4 1 2 6 0 0 0 0 1 0 2 2 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 4 1 2 6 6 1 2 1 6 1 1 6 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 2 2 2 4 4 4 4 4 1 3 40 0000000000000000
  378213 4.3357348442077641.9983829259872437   2.573698043823242113 21 1662 2 5 6 6 542166263301000000010 0 1 1 1 0 0344346244433211213 1 1 2 2 3 42333 4 2 12 33 3 22 4 4 4 2 6 0 0 1 0 1 0 2 5 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 3 1 3 2 6 2 3 1 6 4 1 2 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 3 2 3 4 2 3 3 4 4 1 30 0000000000000000
  379302 4.60390520095825210.344456672668457  1.4050229787826538222 12 2663 2 2 2 1 132144243310000000010 0 0 0 0 0 1131323614223114334 4 4 2 4 2 42113 2 4 13 22 3 22 4 4 5 2 6 0 0 1 1 1 0 2 3 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6 3 1 1 6 6 1 2 2 6 3 1 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 2 2 3 2 4 4 2 4 4 4 3 2 40 0000000000000000
