stud_id,w4pgrm,w4priv,w4urban3,w4all3p,w4cf3p,w4m3p,w4s1134,w4s1135,w4s1144,w4s1145,w4s120,w4s121,w4s122,w4s126,w4s409,cram,w4p229,w4p413,w4p234,w4p414,w4p503,w4faedu,w4moedu,grade_ask,deg_ask,teps_sex,tepsb_sex,np13v32v33_u,np13v32v33_ud,np13v52,edu,libart,sbl,sci,enger,agri,med,serv,else,educ,sblc,scic,engerc,agric,medc,servc,elsec
39840,2,1,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,2.0,1,1.0,0.0,4.0,42.5,0,0,0,0,1,0,0,0,0,,,,1,,,,
39844,1,0,2,2.3730228,4.2999897,1.1611215,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39846,1,0,2,3.2119691,3.1939721,3.7400155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,,2.0,3.0,3.0,2.0,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39848,1,0,2,2.8917234,3.9133546,3.2205365,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39849,1,0,2,2.8458407,3.1069069,2.5292535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,6.0,0,0.0,4.0,2.0,27.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39850,3,1,2,0.35407585,0.85805506,-0.10174259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,0,0.0,3.0,2.0,27.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39851,3,0,2,0.32805318,1.9931709,-1.1639466,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39856,2,0,1,-0.73143303,-0.23637021,-1.4970356,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,,3.0,2.0,5.0,0.0,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39857,3,0,1,2.8826358,3.6055205,3.0293105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,1.0,,0.0,,,0,0.0,,,22.5,0,0,0,0,0,0,0,0,0,,,,,,,,
39859,0,1,1,1.8362474,3.5671377,1.0436612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,,3.0,,2.0,4.0,5.0,,,0,0.0,7.0,3.0,32.5,0,0,0,1,0,0,0,0,0,,,1,,,,,
39860,1,0,2,3.1024473,4.6016273,1.6890883,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,6.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39861,0,1,0,0.041004565,0.26207504,0.18220557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0,0.0,6.0,1.0,32.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39862,3,1,1,0.6007213,1.7918687,-0.56079173,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,6.0,7.0,0,0.0,7.0,2.0,27.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39863,1,0,2,0.26599947,0.25028521,-0.82800472,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,0,0.0,7.0,2.0,27.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39865,1,0,1,2.9667296,2.4400182,3.2089875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,0,0.0,7.0,2.0,27.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39866,2,0,0,0.87157214,2.4754758,-0.63220763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1,1.0,8.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
39868,0,1,0,-0.65965664,-0.37362766,-0.73111522,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,0,0.0,7.0,2.0,32.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39871,1,0,2,2.1707296,0.77614802,1.5485336,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,2.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39873,3,1,2,0.71214467,1.4745579,0.81979752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,2.0,0.0,2.0,0.0,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39874,2,0,1,-1.1964033,0.15922469,-1.9805118,0.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,,2.0,0.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,4.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39875,3,1,2,0.86301702,1.2637686,0.087338999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,0.0,2.0,4.0,,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39876,2,1,2,0.70837075,0.78108585,0.44031909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,2.0,1.0,1.0,0.0,,1,1.0,7.0,2.0,32.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39877,1,0,2,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39880,3,0,1,1.3263049,1.6609186,1.4168715,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,5.0,1,1.0,7.0,2.0,,0,0,1,0,0,0,0,0,0,,1,,,,,,
39881,2,1,2,2.1401021,1.6955233,2.1818073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,1.0,0.0,0.0,2.0,,1,1.0,7.0,6.0,,0,0,0,0,0,0,1,0,0,,,,,,1,,
39882,1,0,1,2.8292916,1.8130603,2.9504533,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,5.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39885,0,1,0,-0.14194605,-0.47589877,-0.75707024,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,,2.0,,,,,,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39886,3,1,1,-0.60429251,0.39769071,-1.2736009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,,1.0,1,1.0,4.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
39888,1,1,2,2.8016429,2.5409129,3.0077939,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,5.0,8.0,1,1.0,,,32.5,0,0,0,0,0,0,0,0,0,,,,,,,,
39892,2,1,1,-0.52314293,-0.24523789,-0.16155459,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39894,1,0,2,4.4447761,3.1774166,4.5964856,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,,4.0,2.0,3.0,1.0,4.0,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39895,3,1,2,-1.4594113,-0.97688031,-1.4220212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1.0,7.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
