  279213 5.0503349304199221.3853710889816284  3.165878057479858411522166253535111 5 5352 3100000 0 0 0 1 0 0 0 0 0 0 111666 666633333333533335 54111 1 4 33 3 4 2 3214 566000010252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2411161 3132110001001000000000012222297 1 42 411110000000000000000
  296203  4.973186969757082.4809935092926025   .704141497611999511513365223221241 3 3232 2000100 0 0 1 0 0 0 0 0 0 0 111222 263233322344333333 34111 4 4 32 3 1 2 2211 666000110222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6411111 13221110000000100000000111113 4 4 44 411400000000000000000
  305202 5.8899316787719733.0609991550445557  3.042947053909301811312165221222231 5 4231 1010000 0 0 0 0 1 0 1 1 0 0 044444 464443333344444123 14111 2 2 13 3 3 2 1221 436000010242000100 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 6431261 11431110000000100000000122211 4 4 44 443300000000000000000
  310203  5.02032995223999 4.313726425170898  1.810940384864807111312265224322341 5 5252 2100000 0 0 1 0 1 0 0 0 0 0 144434 164443323444444244 43111 2 6 34 4 2 2 2224 666000010243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6412661 21631110000011000010000011233 2 4 44 242300000000000000000
  3164022.4825222492218018 2.371579647064209   .909633696079254222322215226644431 5 5352 1100000 0 0 0 1 0 0 1 0 0 0 022222 222222222222222222 22221 1 6 12 3 2 2 1223 263001000253000100 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 3211262 21424400000100100000000131222 4 4 43 333400000000000000000
  3454033.83592963218688962.3304269313812256    .60602682828903251413365236553441 6 5351 3001000 0 0 0 1 1 0 0 0 0 0 153522 252553422432413132 34113 4 6 33 2 3 2 1244 336011010262101000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2432661 23521100000110110000100123223 4 3 44 433300020000000000011
  347203 6.7186083793640142.5275402069091797  3.070071458816528312513365324311441 5 5351 1100000 0 0 1 0 1 0 1 1 0 0 033322 264441212433433223 42111 2 2 32 3 2 3 2244 126000100243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6311221 33231100000111000000000132333 2 2 22 121200000000000000000
  3504026.0822296142578125 4.442554950714111  1.852343678474426321323365143622232 6 6441 4100000 1 0 0 0 0 0 1 0 0 0 012222 563334344443434443 44111 4 3 33 4 3 2 2333 266001000263000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 3131362 12465600000101100000000122214 4 4 44 442300000000000000000
  3592033.22458028793334961.0942416191101074   3.05353283882141111412265226221441 5 5252 2100000 0 1 0 0 1 1 0 0 0 0 022222 164454333442433344 43223 2 4 33 3 2 3 3314 366000010243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6312661 23121200000100100000000122333 2 2 33 444400000000000000000
  364402 5.2829899787902832.8850884437561035  2.881400585174560511422265225261531 6 5251 1100000 1 0 0 0 0 0 1 0 0 0 012322 262232322234342333 43311 6 4 33 2 3 3 2322 562001010252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2411262 12252300000101100000000121223 3 4 44 443400000000000000000
  3722033.9340219497680664 2.739043712615967   3.34737682342529311312265225452341 4 4142 4100000 0 1 1 0 0 0 0 0 0 0 122623 264552233333444334 14111 2 2 33 3 3 3 3213 566000010222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1312661 21651610000000100000000132211 4 4 43 443400000000000000000
  378213 4.3040990829467771.9518029689788818   2.57369804382324211421166221213121 5 4241 1100000 0 0 1 1 0 0 1 0 0 0 022613 634443311233223123 43111 6 4 13 4 1 3 3314 366001110133000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1311221 13311110000000100000000132221 3 3 44 443400000000000000000
  379302 4.57031297683715810.103339195251465  1.405022978782653812422265125463421 5 5352 3010000 0 0 0 1 0 0 0 0 0 0 111211 665552221222432233 33111 1 4 12 3 3 1 2224 366001110252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 6311161 22552300000110000000000133331 4 3 43 222200000000000000000
  382202 5.726413249969482 2.493795156478882  2.312572002410888722413365226333431 6 6363 2100000 0 0 0 0 1 0 0 0 0 0 122444 444442222244424244 43111 2 4 33 3 3 2 1224 426001000262000100 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2231461 22611400000101100000000123332 3 3 44 343400000000000000000
  3835133.13341236114501951.0714443922042847  1.557320833206176823231165343343432 5 5253 5100000 1 0 0 0 0 0 1 0 0 0 022222 213333224433243232 23111 4 4 14 3 2 3 2243 625001000254000100 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1231311 23446600100000000110100021223 3 2 22 232200000000000000000
