  2051203  .2611047327518463     .3504660427570343     2.7278132438659671 1 4 1 3 36526 1 11 124255231110000000001010000 3 3 2 2 2 6 6 4 5 5 1 1 1 1 4 4 4 4 4 4 1 4 4 44111 4 2 32 4 4 3 3 26 4 5 6 6 0 0 0 1 0 0153000100 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0643 1 6 611411110000011010000000011144 4 4 3 4 4 4 4 3 40 0000000000000000
  2111203 .12329360097646713      .249882310628891     2.8886084556579592 2 4 1 2 21522 5 53 234155222101100001001000001 4 4 6 4 4 1 6 4 2 4 2 1 2 3 2 3 3 2 1 1 2 1 1 12233 2 6 13 3 3 2 2 21 4 5 2 1 0 0 0 0 1 0242001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1212 1 1 113322210000010010000000013322 3 3 3 4 2 1 3 1 40 0000000000000000
  2341213 .33815696835517883     .5564420819282532   .0060764588415622712 1 6 2 2 26524 2 65 563133333410000010000000001 1 1 1 4 4 4 4 4 4 4 3 3 1 1 4 2 2 2 1 2 2 2 1 14113 4 3 13 3 3 1 2 32 3 4 6 6 0 0 0 0 1 0243000100 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0233 2 6 612166261000001100000000011122 3 4 3 3 3 3 3 3 30 0000000000000000
  2411203 .21578377485275269     .2825603187084198     3.1180768013000491 1 4 1 3 16522 2 22 144155431301000001000000001 4 4 6 4 4 4 4 4 4 4 4 4 3 3 4 4 4 4 4 4 2 4 4 44111 2 4 32 3 3 3 3 26 1 1 2 6 0 0 0 0 1 0153000100 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1143 1 6 611311110000011000000000013222 3 4 3 1 3 3 3 4 40 0000000000000000
  2791213  .2882704436779022     .3566089868545532    3.16587805747985841 1 5 2 2 16625 3 53 511155352310000000010000001 1 1 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 5 3 3 3 3 5 54111 1 4 33 3 4 2 3 21 4 5 6 6 0 0 0 0 1 0252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0241 1 1 613132110001001000000000012222 297 1 4 2 4 1 1 11 0000000000000000
  2961203 1.1708827018737793  -.035176925361156464     .70414149761199951 3 4 1 2 26522 6 32 233144341110000000100001000 1 2 4 4 4 4 6 2 2 2 4 4 4 4 4 4 4 4 1 4 3 4 1 44112 6 2 12 3 2 2 1 24 3 2 6 6 0 0 0 0 1 0153000100 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0245 1 2 221156220000011000000000011111 4 4 4 4 4 4 4 4 40 0000000000000000
  3051202  .4036330282688141     .6708682775497437    3.04294705390930181 1 3 1 2 16522 1 22 223154231101000000001011000 4 4 4 4 4 4 6 4 4 4 3 3 3 3 3 4 4 4 4 4 1 2 3 14111 2 2 13 3 3 2 1 22 1 4 3 6 0 0 0 0 1 0242000100 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1643 1 2 611143111000000010000000012221 1 4 4 4 4 4 4 3 30 0000000000000000
  3101203 .21205347776412964     .2766631245613098    1.81094038486480711 1 3 1 2 26522 4 32 234155252210000000101000001 4 4 4 3 4 1 6 4 4 4 3 3 2 3 4 4 4 4 4 4 2 4 4 43111 2 6 34 4 2 2 2 22 4 6 6 6 0 0 0 0 1 0243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1641 2 6 612163111000001100001000001123 3 2 4 4 4 2 4 2 30 0000000000000000
  3161402 .23364214599132538    .33862626552581787     .90963369607925421 1 3 2 2 26522 2 21 123153431210000000001000001 1 2 5 2 4 2 6 5 5 5 3 3 2 2 2 2 3 3 3 3 1 2 2 23133 2 4 12 3 3 3 2 22 1 5 6 6 0 0 0 0 1 0252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1131 1 2 622232120000010010000000012222 2 4 3 3 3 3 3 2 30 0000000000000000
  3451403 .26583826541900635    .34872493147850037      .6060268282890321 3 4 2 1 16522 4 44 424266251410000000100000001 5 5 5 5 5 5 6 5 5 5 3 3 3 3 4 4 3 4 4 4 3 3 3 44111 4 4 12 3 3 3 1 21 4 5 1 1 0 1 0 0 0 0163000010 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1121 1 2 611463260000011000000000011122 4 4 4 4 4 4 4 3 40 0000000000000000
  3471203 .21837389469146729                          3.07007145881652831 1 4 1 2 26522 2 32 234144141110000010000010000 5 5 5 5 5 5 5 5 5 5 4 2 3 2 4 4 4 4 4 4 2 4 3 44111 2 2 32 3 3 2 2 24 4 5 6 6 0 0 0 1 1 0233001000 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1141 1 1 111261131000000010000000012122 3 3 3 4 4 4 4 3 40 0000000000000000
  3501402  .2808237075805664      .305968314409256    1.85234367847442631 5 3 3 1 16523 6 33 323244141101000010000010000 3 2 2 1 3 3 6 4 3 3 2 1 1 1 2 3 3 3 3 4 3 3 4 43333 2 4 32 3 3 2 3 22 4 6 6 6 0 0 1 0 0 0243000010 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1643 1 2 113133140000010010000000012232 3 3 3 4 3 3 3 3 20 0000000000000000
  3591203 .24198393523693085     .2632519006729126     3.0535328388214111 1 4 1 2 26522 6 22 144155252210000001001100000 2 2 2 2 2 1 6 4 4 5 4 3 3 3 4 4 2 4 3 3 3 4 4 43223 2 4 33 3 2 3 3 31 4 3 6 6 0 0 0 0 1 0243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1631 2 6 612312120000010010000000012233 3 2 2 3 3 4 4 4 40 0000000000000000
  3641402  .3123362064361572     .4348853528499603    2.88140058517456051 4 4 2 2 16522 2 22 223166255200100010000111000 2 2 2 2 2 2 6 2 2 2 2 3 2 1 4 4 4 4 3 4 4 4 3 43132 2 4 12 3 3 3 3 22 2 4 6 6 0 0 1 0 0 0153001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1111 1 2 621236110000010010000000011223 3 2 2 3 3 3 3 2 30 0000000000000000
  3721203   .207261860370636    .33847764134407043     3.3473768234252931 1 3 1 2 26522 5 45 234144142410000001100000001 2 2 6 2 3 2 6 4 5 5 2 2 3 3 3 3 3 4 4 4 3 3 4 14111 2 2 33 3 3 3 3 21 3 5 6 6 0 0 0 0 1 0222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1131 2 6 612165161000000010000000013221 1 4 4 4 3 4 4 3 40 0000000000000000
  3781213  .3445255160331726    .46808892488479614     2.5736980438232421 1 4 2 1 16622 1 21 312154241110000000110010000 2 2 6 1 3 6 3 4 4 4 3 3 1 1 2 3 3 2 2 3 1 2 3 43111 6 4 13 4 1 3 3 31 4 3 6 6 0 0 1 1 1 0133000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1131 1 2 211331111000000010000000013222 1 3 3 4 4 4 4 3 40 0000000000000000
  3791302 .20765802264213562   .008938547223806381    1.40502297878265381 2 3 2 1 16521 2 32 123143221101100000111000001 1 1 1 4 4 2 6 4 5 5 3 3 2 2 4 4 4 4 3 4 3 3 2 44112 4 2 12 3 3 3 2 22 1 5 6 6 0 0 1 0 0 0133001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1141 2 6 611342110000011110000000012233 4 4 3 4 4 3 4 4 40 0000000000000000
